"시군명","연락처","행사주최","장소","시간","행사종료일","행사시작일","내용","제목","고유번호"
"창원시","055-254-4638","경남도립미술관","경남문화예술회관3층 전시실","10:00-19:00(사전예약제 운영)","2021-10-10","2021-06-25","지역작가조명전의 일환으로 양달석 화백의 작업전반을 살펴보고, 미술사적 가치를 조명","2021 지역작가조명전 《여산 양달석 黎山 梁達錫》","41554156"
"창원시","055-254-4635","경남도립미술관","경남문화예술회관1, 2층 전시실","10:00-19:00(사전예약제 운영)","2021-10-10","2021-06-25","'민화'를 통해 전통과 현대성의 문제를 고찰","2021 근현대미술기획《황혜홀혜 惚兮恍兮》","41554155"
"창원시","055-714-7646","창원문화재단","창원역사민속관 기획전시실","15:00, 19:00","2021-07-28","2021-07-28","상영작: 피노키오(1940) / 88분, 전체 관람가감독/출연: 벤 샤프스틴, 해밀턴 러스크줄거리: 착한 목수 제페토가 나무를 깎아 만든 '피노키오'. 요정의 도움으로 사람처럼 말하고 행동하게 되는데…","명작 영화 콜랙숀","41554154"
"창원시","055-714-7644","주최: 창원문화재단          주관: 창원문화재단, 미리벌민속박물관","창원역사민속관 기획전시실","10:00~18:00","2021-08-15","2021-05-18","선비의 청렴함과 검소함 그리고 가족을 살림살이를 보살피는 마음이 녹아있는 이번 전시를 통해 간결하면서도 기품있고 화려하면서도 실용적인 선비의 철학과 생활을 담은 사랑방, 안방, 부엌방의 가구를 살펴보고 그 의미를 알아보는 전시.","창원역사민속관     기획전시<션?家>전","41554153"
"창원시","-","창원문화재단","진해야외공연장","19:00","2021-07-28","2021-07-28","공연장상주단체 육성지원사업의 일환으로 예술IN공간에서 실시하는  전통 국악 마당극(무료공연)","마당극 '만자맹인이 눈을 뜨다'","41554152"
"창원시","055-546-4017","창원시·사)진해예술문화단체 총연합회","진해야외공연장","19:00","2021-07-24","2021-07-24","사)진해예술문화단체 총연합회에서 주관하는 한여름밤의 야외음악회""7080 추억여행""(무료공연)","한여름밤의 야외음악회""7080 추억여행""","41554151"
"창원시","055-719-7813","창원문화재단","3·15아트센터 제1~3전시실","(평일·주말)10:00 ~ 19:00","2021-09-05","2021-06-21","3·15아트센터 2021 여름특별기획전 / 고전동화 '피노키오의 모험' 이야기를 주제로 세계 거장 작가들이 참여한 일러스트레이션, 회화, 조형물, 설치, 영상 등 200여 점 작품 전시  ※입장료일반 10,000원 / 어린이 8,000원","2021 여름특별기획My Dear 피노키오展","41554150"
"창원시","055-719-7800~1","한국문화예술회관연합회창원문화재단극단 현장","3·15아트센터 소극장","11:0015:00","2021-07-31","2021-07-31","방방곡곡 문화공감 선정넌버벌 코믹놀이극입장료 : 균일1만원","극단현장<정크,클라운>","41554149"
"창원시","055-719-7800~1","창원문화재단","3·15아트센터 소극장","19:30","2021-07-28","2021-07-28","수요콘서트 바캉스특집 비보이그룹 댄스무대입장료 : 균일3만원","진조크루 <다이나믹 콘서트>","41554148"
"창원시","-","김순애 우리춤연구회","3·15아트센터 대극장","19:30","2021-07-10","2021-07-10","삼진의거 102주년 기념 무용극입장료 : 무료","가무극 `팔의사`","41554147"
"창원시","-","창원문화재단,바리오소앙상블","3·15아트센터 소극장","19:30","2021-07-08","2021-07-08","클래식 연주입장료 : 무료","생상스의 동물의사육제&그리그의페르귄트","41554146"
"창원시","-","창원문화재단, 경남심포닉밴드","3·15아트센터 대극장","19:30","2021-07-03","2021-07-03","클래식 연주입장료 : 무료","더 워콘서트","41554145"
"창원시","055-225-2743","창원시","3·15아트센터 대극장","18:40","2021-07-01","2021-07-01","시민의 날 기념식입장료 : 초대(좌석)권","제11회 창원 시민의 날 기념식","41554144"
"창원시","055-268-7912","창원문화재단, DCOMM(디커뮤니케이션) 협력: CMAY GALLERY","성산아트홀 1~4전시실","오전 10시~오후 7시","2021-09-05","2021-07-03","스페인 화가 에바 알머슨의 두번째 이야기 'Vida' 전시","에바알머슨 vida 展","41554139"
"합천군","055-930-3172","합천군·(사)한국미술협회합천지부","합천댐 물문화관 전시장","09:00","2020-08-30","2020-07-15","서예, 서각, 문인화, 공예 등 회원작품 28점 전시","문화소외 지역 찾아가는 문화활동'제9회 찾아가는 미술관'","41296117"
"합천군","055-930-4396055-930-3174","합천군·경남문화예술진흥원","덕곡면 율지마을(밤마리오광대문화체험관)","18:00","2020-08-27","2020-08-27","2020 찾아가는 영화상영회","찾아가는 영화상영회","41296116"
"거창군","055-940-8460","거창문화재단","거창문화센터전시실","10:00 ~ 18:00","2020-09-19","2020-08-17","(행사설명)제인마시의 전시회로 어련소녀의 천진난만한 모습의 작품 전시(입장료) 무료","(2020 기획전시)제인마시의Colouring Life","41296115"
"거창군","055-940-8460","거창문화재단","거창문화센터공연장","10:30 / 13:30","2020-08-19","2020-08-19","(행사설명)어린이 뮤지컬 알라딘 공연(입장료) 1,000원","8월 문화가있는날어린이뮤지컬알라딘","41296114"
"거창군","055-940-8460","거창문화재단","거창문화센터공연장","19:30","2020-08-14","2020-08-14","(행사설명)015B 리더 장호일과 객원가수 이장우, 토이 객원가수 출신 김형중의 히트곡 공연(입장료) 10,000원","(2020 기획공연)015B X 김형중콘서트","41296113"
"거창군","055-940-8460","거창문화재단","거창문화센터공연장","19:30","2020-08-07","2020-08-07","(행사설명) 영남국악관현악단 협연으로 국악인 오정해, 유태평양, 고금성의 국악 콘서트 공연(입장료) 1층 10,000원          2층 5,000원","(2020 기획공연)영남국안관현악단명품국악 콘서트","41296112"
"함양군","960-5544","함양군","함양문화예술회관","09:00~18:00","2020-08-10","2020-08-01","김형구 작가 조각전","김형구 작가조각전","41296111"
"함양군","960-5544","한국문화예술회관 연합회/함양군","함양문화예술회관","19:00","2020-08-08","2020-08-08","오즈의 마법사 도로시의 모험(발레)","오즈의 마법사 도로시의 모험(발레)","41296110"
"산청군","055-970-6403","산청군·사단법인 극단현장","산청군 문화예술회관 대공연장","미정","2020-08-27","2020-08-27","- 미정","상주단체 교류공연","41296109"
"산청군","055-970-6403","산청군·사단법인 향두계놀이보존회","산청군 문화예술회관          대공연장","19:30","2020-08-06","2020-08-06","- 서도소리극 향두계놀이","방방곡곡사업","41296108"
"산청군","055-970-6401     02-564-0269","산청군·기산국악제전위원회","기산국악당","15:00","2020-08-29","2020-08-29","- 국악으로 이루어지는 천상의 아카펠라 ""두레소리""","2020 상설문화관광 프로그램","41296107"
"산청군","055-970-6401     02-564-0269","산청군·기산국악제전위원회","기산국악당","15:00","2020-08-22","2020-08-22","- 전통 춤사위로 하나 되는 명무들의 춤판 ""명무전""","2020 상설문화관광 프로그램","41296106"
"산청군","055-970-6401     02-564-0269","산청군·기산국악제전위원회","기산국악당","15:00","2020-08-15","2020-08-15","- 판소리의 다양한 내면을 보여주는 차세대 예술가 ""박인혜""","2020 상설문화관광 프로그램","41296105"
"산청군","055-970-6401     02-564-0269","산청군·기산국악제전위원회","기산국악당","15:00","2020-08-08","2020-08-08","- 똘끼충만한 수상한광대의 수상한버라이어티 show ""이끌림""","2020 상설문화관광 프로그램","41296104"
"산청군","055-970-6401     055-852-6507","산청군·큰들","동의보감촌         잔디광장","19:00","2020-08-22","2020-08-21","- 마당극 상설공연(효자전)","2020 상설문화관광 프로그램","41296103"
"산청군","055-970-6401     055-852-6507","산청군·큰들","동의보감촌         잔디광장","19:00","2020-08-15","2020-08-14","- 마당극 상설공연(오작교 아리랑)","2020 상설문화관광 프로그램","41296102"
"산청군","055-970-6401     055-852-6507","산청군·큰들","동의보감촌         잔디광장","19:00","2020-08-08","2020-08-07","- 마당극 상설공연(남명)","2020 상설문화관광 프로그램","41296101"
"산청군","055-970-6401     055-852-6507","산청군·큰들","동의보감촌          잔디광장","19:00","2020-08-01","2020-08-01","- 마당극 상설공연(효자전)","2020 상설문화관광 프로그램","41296100"
"하동군","055-880-2365","하동군","하동아트갤러리","10:00 ~ 18:00","2020-08-28","2020-07-21","행사설명 :최소리의 소리를 본다 展입장료(관람료) : 무료","최소리의 소리를 본다 전시","41296099"
"하동군","055-880-2365","하동군","하동군문화예술회관","19:00","2020-08-26","2020-08-26","뮤지컬 '루나틱'입장료(관람료) : 무료","뮤지컬 '루나틱'","41296098"
"남해군","055-860-8624","남해군","바래길 작은미술관","10:00~17:00","2020-09-05","2020-08-11","전시명 '문학과 실존이 있는 바다'","바래길 작은미술관 8월 전시","41296097"
"남해군","055-860-8882","모네의 화실","남해유배문학관","09:00~18:00","2020-08-31","2020-08-11","2020년 모네의 화실 정기 회원전","2020 모네의 화실  정기전","41296095"
"고성군","670-2204","고성군","고성군문화체육센터 공연장","19:00~","2020-08-26","2020-08-26","2020 로미오와 줄리엣(연극)","2020 방방곡곡문화공감사업","41296094"
"고성군","674-2582","고성오광대보존회","고성오광대전수회관","18:00~","2020-08-08","2020-08-08","고성오광대 정기공연","2020 고성오광대 정기공연","41296093"
"고성군","674-2668","고성농요보존회","고성농요전수회관","09:00~12:00","2020-08-01","2020-08-01","고성농요 기획공연","2020 고성농요 기획공연","41296092"
"창녕군","530-1911","창녕군","창녕문화예술회관 대공연장","19:00","2020-08-25","2020-08-25","- 트럼펫, 트럼본, 섹소폰, 베이스, 기타 등 9인조  스카밴드 콘서트- 관람료(3천원, 균일)","문화가 있는날 공연산책(킹스턴 루디스카 콘서트)","41296091"
"함안군","010-4551-6854","함안시조협회, (사)대한시조협회 함안지회","함안문화원        대강당","09:00~12:00","2020-08-30","2020-08-30","행사설명 : 시조창의 수준을 4등급으로 나누어 문화원 전시실과 강당에서 개최","제17회 전국         시조창경연대회","41296090"
"함안군","055-580-3623","문화체육관광부/한국문화예술회관연합회,함안문화예술회관","문화예술회관      대공연장","19:30","2020-08-28","2020-08-28","행사설명: 문화가 있는날 공연        입장료: 전석 3천원, 유료회원   1천원","한웅원밴드 with 유태평양","41296089"
"함안군","055-580-3623","함안군/함안문화예술회관","문화예술회관      대공연장","19:00, 17:00","2020-08-23","2020-08-22","행사설명:코로나 극복 힐링콘서트                             22일-구창모,김범룡,원미연     23일-김용임,박혜신,박구윤        입장료: 전석 3만원, 유료회원 30% 할인","제2회 아라가야뮤직페스티벌코로나 극복 힐링콘서트","41296088"
"함안군","055-570-4922","문화체육관광부·한국문화예술회관연합회, 의령군","의령군민문화회관 공연장","14:00","2020-08-26","2020-08-26","·킹스턴 루디스카 - 9인조 스카 밴드가 선보이는 자메이카 스카 음악 공연· 입장료: 전석무료","문화가 있는 날 의령 수요 문화 산책 ""킹스턴 루디스카 콘서트""","41296087"
"함안군","055-570-4922","한국문화예술회관연합회·의령군, 극단 나는 세상","의령군민문화회관 공연장","19:30","2020-08-13","2020-08-13","·찜질방을 공간으로 중장년들의 삶을 이야기 나누는 연극· 입장료: 15,000원","방방곡곡 문화공감사업 ""여보 나도 할 말 있어""","41296086"
"함안군","055-580-3643","함안군/함안문화예술회관","문화예술회관      대공연장","19:30","2020-07-21","2020-08-21","행사설명: 하우스 콘서트 -        피아니스트 문지영                입장료: 전석 1천원, 유료회원 무료","8월 하우스콘서트","41296085"
"함안군","055-585-8602","함안문화예술회관,극단아시랑/극단청춘극장","문화예술회관      대공연장","19:30","2020-08-14","2020-08-14","행사설명: 공연장 상주단체 육성지원사업 타.시도 교류공연             입장료: 무료","T0 be 이상설","41296084"
"함안군","055-585-8602","함안문화예술회관,극단아시랑/함안문화예술회관,극단아시랑","문화예술회관      대공연장","19:30, 19:30","2020-08-08","2020-08-07","행사설명 : 공연장 상주단체       육성 지원사업          입장료(관람료) : 전석 2만원","이옥분여사","41296083"
"함안군","055-580-3624","함안군/함안문화예술회관","문화예술회관      전시실","9:00 ~ 18:00","2020-09-13","2020-08-04","행사설명 : 상상력,창의력을        유발시키는 체험전  입장료(관람료) : 무료","반쪽이의 상상력 박물관전","41296082"
"의령군","055-570-4922","문화체육관광부·한국문화예술회관연합회, 의령군","의령군민문화회관 공연장","14:00","2020-08-26","2020-08-26","·킹스턴 루디스카 - 9인조 스카 밴드가 선보이는 자메이카 스카 음악 공연· 입장료: 전석무료","문화가 있는 날 의령 수요 문화 산책 ""킹스턴 루디스카 콘서트""","41296081"
"의령군","055-570-4922","한국문화예술회관연합회·의령군, 극단 나는 세상","의령군민문화회관 공연장","19:30","2020-08-13","2020-08-13","·찜질방을 공간으로 중장년들의 삶을 이야기 나누는 연극· 입장료: 15,000원","방방곡곡 문화공감사업 ""여보 나도 할 말 있어""","41296080"
"양산시","055-379-8562","더하우스콘서트","쌍벽루아트홀공연장","17:00~19:00","2020-08-29","2020-08-29","행사내용 : 해설이 있는 클래식음악회임장료 : 1,000원","천원의 행복한 저녁콘서트","41296079"
"양산시","055-379-8562","한국전통예악연합회","쌍벽루아트홀공연장","09:00~12:00","2020-08-23","2020-08-23","행사내용 : 가사,가곡발표회입장료 : 무료","삽량 정가 발표회","41296078"
"양산시","055-379-8562","양산시시설관리공단","쌍벽루아트홀공연장","19:00~2200","2020-08-13","2020-08-13","행사내용 : 가족영화상영입장료 : 무료","가족영화상영 '라이온킹'","41296077"
"양산시","055-379-8562","양산시시설관리공단","쌍벽루아트홀공연장","19:00~22:00","2020-08-06","2020-08-06","행사내용 : 가족영화상영입장료 : 무료","가족영화상영 '알라딘'","41296076"
"양산시","055-379-8568","양산시시설관리공단","문화예술회관대공연장","1부:11:002부:14:00","2020-08-08","2020-08-08","행사내용 : 아동극입장료 : 10,000원","기획공연 강아쥐똥","41296075"
"거제시","055-639-8230","옥포청소년 문화의집","옥포청소년문화의집","14:00","2020-08-29","2020-08-29","행사설명 : 청소년 장기자랑대회(사회적거리 두기를 위해 입장객 최소화, 유튜브 생방송)입장료(관람료) : 무료","딴따라 꿈따라 청소년 0N-LINE    장기자랑대회","41296074"
"거제시","055-639-3893","주최: 문화체육관광부주관: 거제시립수양도서관","수양동복합청사 다목적실","미정","2020-08-29","2020-08-29","행사설명 : '피터팬, 후크를 용서할게' 뮤지컬 공연입장료(관람료) : 무료","수양도서관 문화가 있는 날 뮤지컬 공연","41296073"
"거제시","055-682-4950","거제YWCA","근로자복지회관다목적홀","16:00 ~ 18:00","2020-08-29","2020-08-29","행사설명: 오케스트라 공연 등입장료(관람료) : 무료","지역주민과 함께하는 작은 음악회 Ⅰ","41296072"
"거제시","010-5488-1630","거제소나무합창단","수협효시공원","17:30 ~ 19:00","2020-08-29","2020-08-29","행사설명 : 지역 예술단체 합창공연입장료(관람료) : 무료","제4회 거제를 찾는 사람들을 위한 러브레터 콘서트","41296071"
"거제시","055-6557-1400","안경은","거제문화예술회관 소극장","16:00","2020-08-29","2020-08-29","행사설명 : 수강생들의 발표회                          입장료(관람료) : 무료","안경은과 학생들이 함께하는 피아노콘서트","41296070"
"거제시","055-639-3395","거제시","신현농협 본점 앞 일방통행로","18:00 ~ 21:00","2020-08-28","2020-08-28","행사설명: 거리버스킹 공연, 플리마켓, 문화예술체험 등 운영입장료(관람료) : 무료","『문화(공연)의 거리』 운영","41296069"
"거제시","055-680-1050","거제시문화예술재단","거제문화예술회관 대극장","19:30","2020-08-27","2020-08-27","행사설명 : 대한민국 100년의 역사, 새로 태어난 희망의 대한민국을 표현한 작품, 푸를(靑), 맑을(?), 청할(請), 들을(聽) 총4가지 ""청""을 주제로 발레, 뮤지컬, 댄스, 태권무 국민 소리꾼 오정해가 선사하는 감동의 무대                       입장료(관람료) : R석3만원 / S석 2만원","갓 Korea 심쿵 Art Festival","41296068"
"거제시","055-639-3924","거제시립하청도서관","하청도서관 대회의실","14:00~16:00","2020-08-23","2020-08-23","행사설명 : ""공부머리 만드는 그림책놀이 일 년 열두 달"" 저자 '박형주' 부모독서교육강연              대상 : 유아동 자녀를 둔 부모, 조부모    수강료 : 무료","그림책 작가 릴레이 강연회 (2차)","41296067"
"거제시","055-639-8230","옥포청소년 문화의집","옥포청소년문화의집","13:00","2020-08-22","2020-08-22","행사설명 : 재미있는 과학체험 매시간 2개체험부스 3시간 운영입장료(관람료) : 무료","옥포 과학체험전","41296066"
"거제시","02-555-0822","극단예인","거제시청소년수련관","11:0014:0016:00","2020-08-23","2020-08-22","행사설명 : 유료 가족뮤지컬입장료(관람료) :33,000~44:00","어린이가족뮤지컬","41296065"
"거제시","055-639-3865","거제시립장평도서관","장평도서관 세미나실","13:00~15:00","2020-08-22","2020-08-22","행사설명 : 출판도시 찾아가는 체험교실 공모사업 운영                                             대상 : 초등학생 및 부모                    수강료 : 무료","출판도시 찾아가는 체험교실 공모사업","41296064"
"거제시","055-635-8448","아가페음악학원","거제문화예술회관 소극장","15:00","2020-08-22","2020-08-22","행사설명 : 아가페음악학원 원생들의 발표회입장료(관람료) : 무료","아가페음악학원 정기연주회","41296063"
"거제시","055-639-8181","고현청소년 문화의집","고현청소년문화의집","14:00~16:00","2020-08-22","2020-08-21","행사설명 : 청소년 여름방학 즐기기입장료(관람료) : 무료","고현문화의집 썸머페스티벌","41296062"
"거제시","055-639-3924","거제시립하청도서관","하청도서관 세미나2실","10:00~12:00","2020-08-20","2020-08-20","행사설명 : 천연 입욕제(바쓰붐) 만들기 & 다육이화분 만들기 원데이 특강                                 ※경남대표도서관 행복한 도서관문화프로그램 공모사업                                             대상 : 초등학생                             수강료 : 무료","도서관에서 그린(GREEN) 행복한 세상만들기, part 2","41296061"
"거제시","055-681-0657","아미성음악학원","거제문화예술회관 소극장","19:30","2020-08-20","2020-08-20","행사설명 : 아미성음악학원 원생들의 발표회               입장료(관람료) : 무료","아미성음악학원정기연주회","41296060"
"거제시","055-639-3924","거제시립하청도서관","하청도서관 세미나1실","13:00~14:00","2020-08-21","2020-08-18","행사설명 :'여름방학 독서교실 운영                                                 대상 : 초등3~4학년                   수강료 : 무료","여름방학 독서교실","41296059"
"거제시","055-680-1050","거제시문화예술재단","거제문화예술회관 야외공연장","19:00","2020-08-19","2020-08-17","행사설명 : 거제시민과 관광객이 함께하는 이색 휴가             입장료(관람료) : 무료","블루거제페스티벌","41296058"
"거제시","010-8505-5949/010-7536-0787","영등민속보존회","덕포해수욕장특설무대","17:30","2020-08-15","2020-08-15","행사설명 : 코로나19로 인해 힘든 거제시민과관광객에게 위로와희망을!   입장료(관람료) : 무료","찾아가는 공연","41296057"
"거제시","055-688-9225","한국예총 거제지회","거제포로수용소","16:00 ~ 17:40","2020-08-15","2020-08-15","행사설명 : 공연, 체험, 전시 등입장료(관람료) : 무료","평화기원 특별공연","41296056"
"거제시","055-680-1014","거제시문화예술재단","거제문화예술회관 전시실","10:00~18:00","2020-08-31","2020-08-14","행사설명 : 다양한 형태의 물체에 빛을 투사하여 마치 움직이는 듯 보여지는 프로젝션 맵핑 기술을 활용한 미술 전시. 앞에서 보기만 하던 기존 관람 방식을 넘어서 관람객이 직접 참여하고 작품의 일부가 되는 경험을 해 볼 수 있는 전시입장료(관람료) : 무료","빛으로의 산책 - 미디어아트가 보여주는 환상적인 빛의 향연","41296055"
"거제시","055-639-8184","고현청소년 문화의집","부산 키자니아","9:00~18:00","2020-08-14","2020-08-14","행사설명 : 청소년 직업체험입장료(관람료) : 31,000원","같이 가자! 키자니아","41296054"
"거제시","055-639-0625","거제해양관광개발공사포로수용소유적공원","포로수용소유적공원매표소","19:00~21:00","2020-09-30","2020-08-11","행사설명 : 포로수용소유적공원 야간개장참가방법: 현장참여(입장료 별도)","야간개장 이벤트","41296053"
"거제시","010-3889-8684","한국미술협회거제지부","문화누리문화센터 전시실","09:00 ~ 18:00","2020-08-27","2020-08-11","행사설명 : 미술작품 전시입장료(관람료) : 무료","소품 기획전","41296052"
"거제시","055-639-8181","고현청소년 문화의집","고현청소년문화의집 앞마당","14:00~16:00","2020-08-08","2020-08-08","행사설명 : 여름 화채 만들기입장료(관람료) : 무료","8월 고객만족 행사","41296051"
"거제시","055-639-3395","거제시","신현농협 본점 앞 일방통행로","18:00 ~ 21:00","2020-08-07","2020-08-07","행사설명: 거리버스킹 공연, 플리마켓, 문화예술체험 등 운영입장료(관람료) : 무료","『문화(공연)의 거리』 운영","41296050"
"거제시","010-8505-5949/010-7536-0787","영등민속보존회&한국아트교육원","거제시 동부면 동부로278","14:00","2020-08-02","2020-08-02","행사설명 : 찾아가는공연& 어울림-노닐고 즐기다.입장료(관람료) :무료","찾아가는 공연","41296049"
"거제시","055-639-8284","조선해양문화관","조선해양문화관 1,2관 로비","11:00, 14:00","2020-08-30","2020-08-01","행사설명: 거제에서 나고 자라신 어르신이 어린이들을 위해 쉽게 전시실의 10여개 주요 전시물을 설명입장료(관람료) : 입장권 소지자에 한해 무료","동네 어른이 들려주는 바다이야기","41296048"
"거제시","055-639-8284","조선해양문화관","조선해양문화관 2관 해양공작소","10:00~17:00","2020-08-30","2020-08-01","행사설명 : 그물에 걸린 물고기, 물에 뜨는 배 등 해양 만들기 체험 11종참가비(체험료): 1천원~1만원","뚝딱뚝딱 해양공작소","41296047"
"거제시","055-639-0625","거제해양관광개발공사포로수용소유적공원","포로수용소유적공원1950체험관","09:00~18:00","2020-12-31","2020-08-01","행사설명 : 거울미로/착시미술 2명 이용시 1명 무료체험비: 3,000원/회, 입장료 별도참가방법: 현장참여(중복할인 제외)","거울미로&착시미술2+1 이벤트","41296046"
"거제시","055-639-0625","거제해양관광개발공사포로수용소유적공원","포로수용소유적공원VR체험관","09:00~18:00","2020-12-31","2020-08-01","행사설명 : VR체험관 1명 이용시 1명 무료체험비: 4,000원/회, 입장료 별도 참가방법: 현장참여(중복할인 제외)","VR체험관1+1 이벤트","41296045"
"거제시","055-639-0625","거제해양관광개발공사포로수용소유적공원","포로수용소유적공원매표소","09:00~18:00","2020-12-31","2020-08-01","행사설명 : 입장료 20% 할인(할인쿠폰 반드시 소지)참가방법: 현장참여(중복할인 제외)","입장료 20% 할인쿠폰 이벤트","41296044"
"거제시","055-639-0624","거제해양관광개발공사포로수용소유적공원","포로수용소유적공원평화미래전시관1층 상상공작소","09:00~18:00","2020-08-31","2020-08-01","행사설명 : 나만의 작품 만들기(댕기머리띠, 스크래치페이퍼 등)체험비 : 1~5천원/개, 입장료 별도참가방법 : 현장참여","꼬꼬마 상상공작소","41296043"
"거제시","055-639-3924","거제시립하청도서관","하청도서관 세미나2실","매주 토요일  10:00~12:00","2020-08-29","2020-08-01","행사설명 : 에코크래프트 공예, 책가방 만들기        ※경남대표도서관 행복한 도서관문화프로그램 공모사업                           대상 : 성인                                   수강료 : 무료(재료비 25,000원 수강생부담)","도서관에서 그린(GREEN) 행복한 세상만들기, part 1","41296042"
"거제시","055-639-3894","거제시립수양도서관","수양동복합청사 1프로그램실","09:50~15:00","2020-09-26","2020-08-01","행사설명  : '책 속에서 만나는 과학 이야기' 등 4개 강좌(매주 토요일, 총8회)입장료(관람료) : 7,000원~24,000원","수양도서관 제1기 어린이 문화강좌","41296041"
"거제시","055-639-3883","거제시립옥포도서관","옥포도서관 세미나실","13:00~15:00","2020-08-29","2020-07-18","행사설명 : 어린이 독서미술 강좌대상 : 8~10세 어린이수강료 : 무료(재료비 20,000원 수강생 부담)","여름 어린이 문화강좌","41296040"
"거제시","055-680-1014","거제시문화예술재단","거제문화예술회관 전시실","10:00~18:00","2020-08-05","2020-07-04","행사설명 : 예술가의 시선으로 본 '슬기로운 거제 생활'?! 다섯 명의 예술가가 펼치는 도시와 도시의 삶에 대한 이야기가 거제문화예술회관에서 펼쳐집니다. 입장료(관람료) : 무료","도시를 보는다섯가지 시선","41296039"
"밀양시","055-539-5638","문화재청.밀양시밀양문화재야행추진위원회","영남루, 관아, 청학마실 일원","18:00-23:30","2020-08-29","2020-08-28","22개 프로그램과 함께하는 밀양문화재야행","문화재 야행","41296038"
"밀양시","055-539-5634","(사)한국사진작가협회 경상남도지회","밀양아리랑아트센터 전시실","10:00-18:00","2020-08-23","2020-08-18","제29회 경남사진대전 출품작품 전시","제29회 경남사진대전","41296037"
"밀양시","055-359-5632","밀양시// 밀양공연예술축제추진위원회 / 밀양문화재단","밀양아리나, 밀양아리랑아트센터","14:00-23:00","2020-08-16","2020-08-01","○ 공모작품: 대학극전(6팀), 차세대 연출가전(10팀)○ 청년 K-star 공연: 2편(논두렁 연간, 모모의 시간여행)○ 초청공연: 20편(우수작품, 지역우수작, 가족극 등)○ 부대행사: 시민체험공연, 생활문화예술동아리 공연","2020 밀양공연예술축제","41296036"
"김해시","055-311-7621","(사)한국예총김해지부","가야테마파크 태극전","11:00","2020-08-29","2020-08-29","○행사설명 : 청소년 대상 예능 경연대회","수로 전국 청소년예능 콘테스트","41296035"
"김해시","055-344-1800","김해문화재단","김해서부문화센터 하늬홀","14:00","2020-08-29","2020-08-29","○행사설명 : 키즈 음악회 전문해설가 '바이올리니스트 박소연'의 스토리텔링으로 진행되는 클래식 음악으로 듣는 동화○티켓가격 : 전석 2만원","8월 우아한 클래식","41296034"
"김해시","055-330-3947055-320-8586","김해시·(재)김해문화재단, 김해시립가야금연주단","김해문화의전당마루홀, 누리홀","8.28.(금)10:00 ~8.29.(토) 9:30 ~","2020-08-29","2020-08-28","○참가자격: 초,중,고/대학/일반부○경연부문: 기악, 병창, 작곡 ○시 상 자: 47명(총시상금4천만원)","제30회 김해전국가야금경연대회(2020 김해가야금축제)","41296033"
"김해시","010-9338-5889","김해가야오페라단","김해문화의전당마루홀","19:30","2020-08-20","2020-08-19","○ 행사설명 : 김해가야오페라단이 선보이는 우리나라 최초의 오페라 <춘향전>○ 티켓가격 : VIP석 10만원 R석 7만원 S석 5만원 A석 3만원","오페라             <춘향전>","41296032"
"김해시","320-1234","김해문화재단","김해문화의전당 마루홀","19:30","2020-08-14","2020-08-14","○ 행사설명: 경상필하모닉오케스트라 클래식 공연                           ○ 티켓가격 : VIP석 50,000 원, R석   20,000 원, A석 10,000 원, B석 7,000 원","클래식          <포스트 코로나 새로운 시대 새로운 공연>","41296031"
"김해시","010-9338-5889","디엠솔리스트앙상블","김해서부문화센터 하늬홀","17:00","2020-08-01","2020-08-01","○ 행사설명 : 피아노, 현악3중주와 더불어 우수한 성악가들이 관객들에게 익숙한 영화속에 나온 오페라 작품을 소개하는 공연○티켓가격 : R석 1만원 S석 5천원","영화 속 오페라 읽기","41296030"
"사천시","055-835-6436","사천문화재단","사천시문화예술회관 대공연장","19:30","2020-08-13","2020-08-13","8월 기획공연 투깝쇼","기획공연 투깝쇼","41296029"
"사천시","055-835-6436","사천문화재단","삼천포대교공원 외 3개소","매주 금요일19:10~","2020-08-28","2020-08-07","2020 시민과 함께 코로나 극복! 무료 영화 상영","무료 영화 상영","41296028"
"사천시","055-835-6436","사천문화재단","사천미술관","매일 10:00`18:00","2020-08-26","2020-08-01","기획전시 반고흐전","반 고흐전","41296027"
"사천시","055-835-6436","사천문화재단","용소계곡 외 8개소","총12회 공연(장소별 시간 상이)","2020-08-26","2020-08-02","코로나19 피해 지역공연예술인을 위한 찾아가는 버스킹 공연","찾아가는 버스킹","41296026"
"사천시","055-835-6436","사천문화재단","문화예술회관 소공연장","매주 화요일19:30","2020-08-25","2020-08-04","사천해전으로 본임진왜란과 이순신의 23전 23승","인문학 살롱","41296025"
"통영시","055-645-5837","통영시/사단법인 국가무형문화재 승전무보존회","산양중학교    체육관","13:00","2020-08-13","2020-08-13","승전무 북춤, 칼춤, 기방입춤, 소고춤, 쟁강춤, 진도북놀이","찾아가는 무형문화재 공연","41296024"
"통영시","010-7566-2038","통영시/통영오광대","통영예능전수관 상설공연장","15:00","2020-08-29","2020-08-29","전수교육관 활성화 사업 상설공연","역사와 함께하는 전통문화예술 ""이순신과 통영말뚝이""","41296023"
"통영시","055-650-2551","통영시","통영시립박물관 세미나실","14:00","2020-08-17","2020-08-17","통영상륙작전 조명","해병대 통영상륙작전 학술세미나","41296022"
"통영시","055-650-2551","통영시","통영시립박물관 기획전시실","09:00~17:00","2020-12-13","2020-08-16","귀신잡는 해병, 통영을 넘어 대한민국을 구하다' 전시","해병대 통영상륙작전 전승 70주년 기념 특별전시","41296021"
